==COMPLETE LIST OF ISCN(2024) EXAMPLES==

'''This file contains all of the ISCN(2024) examples from the cytogenetics and in situ hybridization chapters.  The Example Numbers in parentheses are for reference to this file and are not published in the ISCN.  The markup for underlining (<u></u>) has been retained and should not be used in the ISCN string.  Section numbers have been intercalated for easier location in the ISCN text.  For most efficient searching, pipe multiple instances of grep to identify the examples with particular patterns of interest.  For example, grep 'der' | grep 'ins' finds all examples of derivative chromosomes involving an insertion.'''


(Ex.1)	inv(Y)(p11.2q11.2)pat
(Ex.179)	47,XY,+der(4)t(4;11)(q21;q23),t(4;11)[10]
(Ex.180)	46,XY,der(3)ins(16;3)(p12;p21p13)dmat
(Ex.181)	46,XX,der(1)t(1;3)(p32;q21)t(1;11)(q25;q13) or 46,XX,der(1)(3qter-->3q21::1p32-->1q25::11q13-->11qter)
(Ex.182)	46,XY,der(1)t(1;3)(p32;q21)t(3;7)(q28;q11.2) or 46,XY,der(1)(7qter-->7q11.2::3q28-->3q21::1p32-->1qter)
(Ex.183)	46,XY,der(1)t(1;3)(p32;q21)dup(1)(q25q42) or 46,XY,der(1)(3qter-->3q21::1p32-->1q42::1q25-->1qter)
(Ex.184)	46,XY,der(9)del(9)(p12)t(9;13)(q34;q11) or 46,XY,der(9)(:9p12-->9q34::13q11-->13qter)
(Ex.185)	46,XX,der(1)t(1;11)(p32;q13)t(1;3)(q25;q21) or 46,XX,der(1)(11qter-->11q13::1p32-->1q25::3q21-->3qter)
(Ex.186)	47,XY,+der(8)r(8;17;1)(p23q13;q12q25;p36.3p32) or 47,XY,+der(8)(::8p23-->8q13::17q12-->17q25::1p36.3-->1p32::)
(Ex.187)	46,XX,der(1)del(1)(p34p22)ins(1;17)(p34;q25q11.2) or 46,XX,der(1)(1pter-->1p34::17q25-->17q11.2::1p22-->1qter)
(Ex.188)	46,XY,der(7)ins(7;?)(q22;?)t(2;7)(q21;q22) or 46,XY,der(7)(7pter-->7q22::?::2q21-->2qter)
(Ex.189)	47,XX,t(6;9;22)(p21;q34;q11.2),+der(22)t(6;9;22)[15]
(Ex.190)	46,XX,der(8)t(8;17)(p23;q21)inv(8)(p22q13)t(8;22)(q22;q12) or 46,XX,der(8)(17qter-->17q21::8p23-->8p22::8q13-->8p22::8q13-->8q22::22q12-->22qter)
